TELERIDE_NUMBER,STOP_NAME,STATUS,point,City Quadrants,Ward Boundaries 2017,Ward Boundaries,Calgary Communities
4023,Dalhousie LRT Station EB,ACTIVE,POINT (-114.158831890086 51.1033998010659),2,4,7,38
9869,WB Cranston DR SE @ Cranwell SQ SE,ACTIVE,POINT (-113.982166144952 50.8822004800581),3,8,4,294
6757,NB 4 ST SW @ 7 AV SW,ACTIVE,POINT (-114.071326733498 51.045974647296),1,7,7,262
4321,WB Maryvale DR @ Maryvale WY NE,ACTIVE,POINT (-113.967987514448 51.0566858454484),4,3,12,77
4700,SB 16 ST SW @ 40 AV SW,ACTIVE,POINT (-114.100586512995 51.0177503445067),1,2,8,200
6855,EB 5 AV SW @ 7 ST SW,ACTIVE,POINT (-114.078856573248 51.0487627623191),1,2,14,262
7870,EB Harvest Hills DR @ Harvest Wood RD NE,ACTIVE,POINT (-114.052511998028 51.1511548832398),4,12,11,27
7213,WB Hawksbrow DR @ Hawkwood BV NW,ACTIVE,POINT (-114.167960804034 51.1251276370789),2,10,3,248
8944,EB Seton BV @ E. of Auburn Bay LI SE,ACTIVE,POINT (-113.952552125397 50.8832168932927),3,8,4,90
7140,WB Silver Ridge DR @ Silver Ridge PL NW,ACTIVE,POINT (-114.197326489808 51.1035290253752),2,9,13,147
9759,WB Hidden Valley DR @ E. Leg Hidden Ranch CR NW,ACTIVE,POINT (-114.121603795063 51.1509376557987),2,12,2,25
7428,EB 20 AV NW @ 15 ST NW,ACTIVE,POINT (-114.096537195269 51.0704224802964),2,7,7,63
9700,WB Panatella BV NW @ Panamount RI NW,ACTIVE,POINT (-114.081407782225 51.1632853865491),2,12,11,235
5128,WB 17 AV SW @ Richmond RD,ACTIVE,POINT (-114.111485254871 51.0379134742195),1,2,14,173
7447,SB Harvest Hills BV @ Country Hills RD NW,ACTIVE,POINT (-114.068358447145 51.1432809589753),2,12,2,172
6603,SB Nose Hill DR @ Crowfoot RD NW,ACTIVE,POINT (-114.19689708542 51.1257263881983),2,10,3,244
7411,NB 14 ST SW @ 17 AV SW,ACTIVE,POINT (-114.094582029222 51.0382802809487),1,2,14,260
4421,NB Hidden Valley DR @ Hidden Valley GV NW,ACTIVE,POINT (-114.102921252684 51.1492797514483),2,12,2,25
6528,WB Richmond RD @ 48 ST SW,ACTIVE,POINT (-114.157475577085 51.0183756437212),1,14,1,298
6254,WB Castleridge BV @ Westwinds DR NE,ACTIVE,POINT (-113.96384690356 51.1013501500774),4,1,9,119
8349,WB Rocky Vista DR @ Rocky Vista PA NW,ACTIVE,POINT (-114.237739865358 51.1380680043428),2,9,13,193
4898,Annie Gale School on Whiteridge Wy NE,ACTIVE,POINT (-113.968397616729 51.0893394659852),4,3,9,145
