TELERIDE_NUMBER,STOP_NAME,STATUS,point,City Quadrants,Ward Boundaries 2017,Ward Boundaries,Calgary Communities
8358,WB MRU West Gate,INACTIVE,POINT (-114.133868640867 51.0143094499602),1,2,8,42
4906,EB Coventry DR @ Coventry CL NE,ACTIVE,POINT (-114.046697744715 51.1568727157964),4,12,11,251
2880,EB Southland DR @ Oakfield DR SW,INACTIVE,POINT (-114.131707708272 50.961132777527),1,5,8,126
3626,WB 69 Street CTrain Station,ACTIVE,POINT (-114.188485952063 51.0376052067678),1,14,1,289
2066,WB Nolan Hill BV @ Nolanshire PT 100 NW,ACTIVE,POINT (-114.162003819513 51.171716443508),2,10,3,188
8127,SB Auburn Bay ST @ Auburn Bay BV SE,ACTIVE,POINT (-113.950788279391 50.886273260755),3,8,4,95
8553,SB Northmount DR @ Harlow AV NW,ACTIVE,POINT (-114.082718879027 51.0912699781306),2,4,7,37
8402,WB Patterson BV @ W. of Patterson DR SW,INACTIVE,POINT (-114.18208996753 51.066536294733),1,14,1,275
4942,EB Valley Ridge DR @ Valley Crest CL NW,ACTIVE,POINT (-114.265852448731 51.0922635376979),2,9,13,47
5764,NB Crowchild TR @ Glenmore TR SW,ACTIVE,POINT (-114.117760647702 51.0008964591629),1,5,8,122
8179,SB 52 ST SE @ 68 AV SE,ACTIVE,POINT (-113.95872552642 50.9935152630677),3,11,10,159
4065,EB 33 AV NW @ Bowwood DR,INACTIVE,POINT (-114.175159899179 51.0823434543332),2,9,13,149
4408,WB Temple DR @ 60 ST NE,ACTIVE,POINT (-113.947342750086 51.0849682206231),4,3,9,22
8251,SB Sunbank WY @ Sunvale CR SE,ACTIVE,POINT (-114.051332884264 50.9030536404892),3,13,6,52
8429,NB Tuscany Springs BV @ Tuscarora CL NW,ACTIVE,POINT (-114.238206331015 51.127141703598),2,9,13,158
3779,WB Springbluff  BV @ Springbank GA SW,ACTIVE,POINT (-114.190748568286 51.0213846323161),1,14,1,289
5565,NB Midridge DR @ Midlake BV SE,ACTIVE,POINT (-114.061721085317 50.9154141191122),3,13,6,263
5373,SB 20 ST SW@ 52 AV SW,ACTIVE,POINT (-114.109292954932 51.0063988358627),1,5,8,122
8828,EB 9 AV SE @ 11 ST SE,ACTIVE,POINT (-114.036298725082 51.0419067049166),3,11,10,54
6616,EB 40 AV NW @ E. of 49 ST NW,ACTIVE,POINT (-114.156569382228 51.0881257499677),2,9,13,269
6929,NB Harvest Hills DR @ Harvest Park RD NE,ACTIVE,POINT (-114.060023228911 51.1497609921972),4,12,11,27
4329,EB Maryvale DR @ Maryvale WY NE,ACTIVE,POINT (-113.966775211412 51.0566723537821),4,3,12,77
4244,NB Oakwood DR @ Oakmount DR SW,ACTIVE,POINT (-114.138958751812 50.9678068527223),1,5,8,217
6942,WB Sunmills DR @ Sunset WY SE,ACTIVE,POINT (-114.037543895802 50.8981977223523),3,13,6,52
5195,SB Elbow DR @ Heritage DR SW,ACTIVE,POINT (-114.083391494914 50.9786259157689),1,5,8,195
3543,SB Royal Oak DR @ Royal Birch BV NW,ACTIVE,POINT (-114.217183308097 51.1475975505412),2,9,3,252
7301,WB 36 AV SW @ 3 ST SW,INACTIVE,POINT (-114.069710287746 51.0216298690942),1,5,10,60
7188,NB Ranchero DR @ Ranchero PL NW,ACTIVE,POINT (-114.189622306701 51.1238336909971),2,10,3,245
6705,EB California BV @ 68 ST NE,ACTIVE,POINT (-113.934313199714 51.0725195802212),4,3,9,161
4622,EB Bow TR @ 26 ST SW,INACTIVE,POINT (-114.123276477419 51.0414372784456),1,2,14,198
8164,NB 52 ST NE @ Temple DR S leg,INACTIVE,POINT (-113.958225601588 51.0862685731202),4,3,9,22
4080,WB Bowfort RD @ Bowridge DR NW,ACTIVE,POINT (-114.209853114011 51.0850750928827),2,9,13,149
4461,NB 44 ST SE @ 14 AV SE,ACTIVE,POINT (-113.969877481264 51.0412993823641),3,11,12,85
4837,SB Coventry Hills WY @ Coventry Hills DR NE,ACTIVE,POINT (-114.059815242569 51.1651728103901),4,12,11,251
9579,NB Evanston VW @ Evanscreek CO NW,ACTIVE,POINT (-114.121238736364 51.1673403431565),2,10,3,237
8211,NB 44 ST SE @ 64 AV SE,ACTIVE,POINT (-113.97004225123 50.9970208301028),3,11,10,159
6687,EB 17 AV SE @ 33 ST SE,INACTIVE,POINT (-113.985778156179 51.0376901397597),3,11,12,15
4154,NB @ Barlow TR NE,INACTIVE,POINT (-114.00037959109 51.1331159247885),4,1,11,86
8107,WB Auburn BAY BV @ Auburn Shores WY SE,ACTIVE,POINT (-113.957017958078 50.8853844185798),3,8,4,95
9130,NB Woodpark BV @ Woodpark RD SW,ACTIVE,POINT (-114.108780208235 50.9454096792118),1,6,5,216
2864,WB Heritage DR @ Heritage GA SE,INACTIVE,POINT (-114.044358937941 50.9872839694145),3,11,10,1
6626,Lions Park LRT Station (EB 14 AV NW),ACTIVE,POINT (-114.101966788968 51.0650974733019),2,7,7,152
7857,SB 14 ST SW @ 10 AV SW,ACTIVE,POINT (-114.094938451085 51.043982890079),1,2,14,136
9148,WB Lake Bonavista DR @ Lake Erie RD SE,ACTIVE,POINT (-114.058409377874 50.939707231398),3,13,6,267
8304,WB Canyon Meadows DR @ Deer River GA SE,ACTIVE,POINT (-114.010878739784 50.9334080514537),3,13,6,168
9722,EB Panorama Hills DR @ Panorama Hills CI,ACTIVE,POINT (-114.08347864747 51.1495121634986),2,12,11,235
5355,NB 20 ST SW@ 46 AV SW,ACTIVE,POINT (-114.109235124084 51.0128287324327),1,2,8,200
6835,WB Citadel DR @ 400 Citadel Meadow BA NW,ACTIVE,POINT (-114.177332104169 51.1491091269499),2,10,3,247
8910,NB 42 ST SE @ 112 AV SE,ACTIVE,POINT (-113.974887716004 50.9529984027181),3,8,4,79
3767,26th Avenue SW Station (NB),ACTIVE,POINT (-114.141028890337 51.0302618778184),1,2,14,182
8661,WB 17 AV SW @ 45 ST SW,ACTIVE,POINT (-114.15338556389 51.0378756065227),1,14,14,234
4212,NB Acadia DR @ Maplecroft RD SE,ACTIVE,POINT (-114.042178539479 50.9583304403036),3,5,6,93
2372,WB Douglasdale BV @ Douglasview BV SE,ACTIVE,POINT (-113.99158269205 50.9408701081192),3,13,4,268
7829,NB Bellevue AV @ 17 AV SE,INACTIVE,POINT (-114.044440958463 51.0381732887937),3,11,10,132
5487,SB 14 ST NW @ Northmount DR,ACTIVE,POINT (-114.094880713864 51.0834147732333),2,4,7,214
4112,Dalhousie LRT Station NB,ACTIVE,POINT (-114.15800326653 51.1038653603745),2,4,7,38
7576,WB Sunridge BV @ 26 ST NE,ACTIVE,POINT (-113.998959325719 51.0769779952506),4,3,9,83
2135,WB New Brighton DR @ BrightonCrest MR SE,ACTIVE,POINT (-113.949381335489 50.9243835357615),3,8,4,139
9412,WB Child AV @ Bantry ST NE,ACTIVE,POINT (-114.035629865188 51.058854187703),4,11,10,171
9098,SB Parkland BV @ Parkland WY SE,ACTIVE,POINT (-114.029965903851 50.9253951251663),3,13,6,117
5632,WB Cedarille DR @ Cedardale CR SW,ACTIVE,POINT (-114.132200702275 50.9525988490129),1,5,8,126
4566,EB 5 AV SW @ 6 ST SW,ACTIVE,POINT (-114.075494150536 51.0486786068095),1,2,14,262
3933,EB Fish Creek BV @ 100M W. of 24 ST SW,ACTIVE,POINT (-114.117880517322 50.9212135369329),1,6,5,39
3911,NB Centre ST S @ 4 AV S,ACTIVE,POINT (-114.06258735732 51.049685916278),3,7,7,21
5038,WB 78 AV N @ Centre ST N,ACTIVE,POINT (-114.07200621031 51.1226817032884),2,4,2,261
5049,EB 7 AV SW @ 4 ST SW,INACTIVE,POINT (-114.072353870437 51.0466570288172),1,2,14,262
7312,NB 37 ST SW @ 45 AV SW,ACTIVE,POINT (-114.141040409882 51.0150150783991),1,2,8,183
5796,SB Falconridge BV @ Castleridge BV NE,ACTIVE,POINT (-113.958594521896 51.0991410696606),4,1,9,80
6842,SB Crowfoot Cl @ Crowfoot WY NW,ACTIVE,POINT (-114.207454352748 51.1253927042616),2,10,3,244
7191,WB Ranchview LI @ Ranch Estates DR NW,ACTIVE,POINT (-114.175821187258 51.1157745732081),2,10,3,245
6088,EB Varsity Estates Dr @ Varsity Estates RD NW,ACTIVE,POINT (-114.165404467099 51.1031546858418),2,9,13,269
3494,EB Sage Hill GA @  W. of 37 St NW,ACTIVE,POINT (-114.142502834969 51.1707124903453),2,10,3,265
6748,Brentwood LRT Station,ACTIVE,POINT (-114.132227403283 51.0866681308674),2,9,13,269
8600,EB Arbour Lake RD @ Arbour Stone CR NW,ACTIVE,POINT (-114.216819171129 51.1333802120882),2,10,3,244
7205,SB Edgemont BV @ Edgepark BV NW,ACTIVE,POINT (-114.151722106219 51.1244541207498),2,4,2,272
5084,EB 5 AV SW @ 2 ST SW,ACTIVE,POINT (-114.066705189543 51.0484311916322),1,7,7,262
2098,NB Sherwood Dr @ Symons Valley Py NW,ACTIVE,POINT (-114.160413149422 51.1688939881819),2,10,3,188
5079,WB 9 AV SE @ 7 ST SE,ACTIVE,POINT (-114.04548467497 51.0439654554983),3,7,7,65
5751,SB Coventry Hills BV @ Country Village LD NE,ACTIVE,POINT (-114.052753253604 51.1570165787296),4,12,11,264
4852,NB 4 ST NW @ 12 AV NW,ACTIVE,POINT (-114.071429024462 51.0637960620838),2,7,7,266
7565,NB 36 ST NE @ 26 AV NE,ACTIVE,POINT (-113.98129206532 51.0783576998043),4,3,9,34
8336,NB Coverntry Hills WY @ Coverton GR NE,ACTIVE,POINT (-114.040139118233 51.1670418371031),4,12,11,251
4874,NB Hunterview DR @ Huntsbay RD NW,ACTIVE,POINT (-114.079771647656 51.111965353557),2,4,2,261
4197,EB Parkland BV @ Parkland PL SE,ACTIVE,POINT (-114.034306306974 50.9278622492254),3,13,6,117
7650,WB 26 AV NE @ Catalina BV,ACTIVE,POINT (-113.932027793541 51.0762015276005),4,3,9,161
4774,SB Chapala DR @ Chapala RD SE,ACTIVE,POINT (-114.031367533901 50.8785752300289),3,13,6,130
7877,NB Bowness RD @ 46 ST NW,ACTIVE,POINT (-114.160824805836 51.0729832366801),2,7,13,24
9273,EB Arbour Lake WY @ Arbour Summit CL NW,ACTIVE,POINT (-114.188147302698 51.1377578176284),2,10,3,244
8639,WB Seton BV @ Auburn Bay LI SE,ACTIVE,POINT (-113.953789600005 50.8834291269979),3,8,4,95
4376,WB 8 AV SE @ 47 ST SE,ACTIVE,POINT (-113.966195376402 51.045242559208),3,11,12,194
8974,EB Northmount DR @ Collingwood DR NW,ACTIVE,POINT (-114.103821845575 51.08636221478),2,4,7,214
5521,SB Macleod TR @ 31 AV SW,ACTIVE,POINT (-114.059237035943 51.0255401953426),1,5,10,187
4815,NB Fairmount DR @ 78 AV SE,ACTIVE,POINT (-114.060391454396 50.9843094215747),3,11,10,284
8002,NB Tuscany WY @ Tuscany Hills PA NW,ACTIVE,POINT (-114.243680476596 51.1213885347499),2,9,13,158
7003,EB Coral Springs BV @ Coral Keys DR NE,ACTIVE,POINT (-113.932447714323 51.1080371323509),4,3,9,293
8071,EB 2 AV SW @ 3 ST SW,ACTIVE,POINT (-114.069531579612 51.0513535294393),1,7,7,295
9719,SB Panorama Hills DR NW @ Panamount GD NW,ACTIVE,POINT (-114.085317017186 51.1555125435432),2,12,11,235
6404,NB Citadel WY @ Citadel Acres CL NW,ACTIVE,POINT (-114.194261796748 51.1456131194782),2,10,3,247
6805,NB 39 Avenue CTrain Station,ACTIVE,POINT (-114.06123751192 51.017818942671),3,11,10,160
4510,WB Ogden RD @ 16A ST SE,ACTIVE,POINT (-114.020368355042 51.0186810075709),3,11,10,98
6142,EB Marbank DR @ Marlyn WY NE,ACTIVE,POINT (-113.976338904492 51.063225884678),4,3,12,77
4738,WB Country Village WY @ Harvest Hills BV NE,ACTIVE,POINT (-114.068930920575 51.1567847771173),4,12,11,264
5006,EB 5 AV SE @ Macleod TR,INACTIVE,POINT (-114.058189322988 51.0481540136419),3,7,7,262
9287,EB Strathcona DR @ Strathridge GV SW,ACTIVE,POINT (-114.19460150845 51.0508539401532),1,14,1,67
6673,SB 52 ST NE @ 26 AV NE,INACTIVE,POINT (-113.958601523995 51.0757541640645),4,3,9,34
6910,EB 21 ST SE @ River Rock CR,ACTIVE,POINT (-114.012519579981 50.966417099977),3,8,10,19
2498,Riverbend Station (NB),ACTIVE,POINT (-114.015589364984 50.9761671367647),3,8,10,19
7640,EB 43 AV NE @ Temple DR NE,ACTIVE,POINT (-113.938722646648 51.0915788684662),4,3,9,22
6541,WB 49 AV SW @ 45 ST SW,ACTIVE,POINT (-114.152445365004 51.0094741599609),1,14,1,142
4302,SB Strathcona BV @ Strathcona DR SW,ACTIVE,POINT (-114.186812502676 51.0465739975015),1,14,1,67
9455,SB Douglas Glen BV @ Douglas Glen ME SE,ACTIVE,POINT (-114.005518558238 50.9514677230046),3,8,4,268
3848,NB Crowfoot GA @ Crowfoot CR NW,INACTIVE,POINT (-114.197589595447 51.1282165078611),2,10,3,244
2353,signal B121C sb,INACTIVE,POINT (-113.977322758507 51.1028482681746),4,1,9,80
6409,NB Midpark DR@ Midpark CR SE,ACTIVE,POINT (-114.056076370778 50.9097128644551),3,13,6,263
7470,WB Valley Ridge DR @ Valley Meadow GD NW,ACTIVE,POINT (-114.245708049711 51.0921141765399),2,9,13,47
6765,Marlborough LRT Station (SB 36 ST NE @ 8 AV NE),ACTIVE,POINT (-113.982102806384 51.05888645598),4,3,12,84
4472,SB 30 AV SE @ 28 ST SE,ACTIVE,POINT (-113.991871443281 51.0264415675898),3,11,10,196
8693,SB Elbow DR @ Sabrina RD SW,ACTIVE,POINT (-114.084868091564 50.9566521520475),1,5,8,7
9394,EB 66 AV SE @ 18 ST SE,ACTIVE,POINT (-114.015977568937 50.9940124466105),3,11,10,28
6177,SB Abbeydale DR @ Abergale DR NE,ACTIVE,POINT (-113.928975389237 51.0561071877502),4,3,12,94
5910,NB Ranchview DR @ Ranchview ME NW,ACTIVE,POINT (-114.176074485758 51.1186499819477),2,10,3,245
5155,NB Centre ST N @ 60 AV N,ACTIVE,POINT (-114.062301085658 51.1057976803172),4,4,2,192
5619,NB 14 ST NW @ Rosevale DR NW,ACTIVE,POINT (-114.094588287588 51.0807900117924),2,4,7,92
3980,NB Sunpark  PZ @ Sundance Place PARK SE,ACTIVE,POINT (-114.057807575773 50.9027943561948),3,13,6,52
3580,SB Cranford DR @ Cranford CL SE,INACTIVE,POINT (-113.967011898697 50.8728247083593),3,8,4,294
8062,WB Riverglen DR @ Rivercroft CL SE,ACTIVE,POINT (-114.008793612359 50.9771787176898),3,8,10,19
9026,EB 21 AV NW @ 13 ST NW,INACTIVE,POINT (-114.091725128011 51.0713461618849),2,7,7,63
6924,EB Applewood DR @ Appleridge GR SE,ACTIVE,POINT (-113.927546107747 51.0492422898967),3,11,12,221
3643,NB 52 ST SE @ Dufferin PL SE,ACTIVE,POINT (-113.958149352207 50.9580485285959),3,8,4,79
5664,SB Spruce DR @ Bow TR SW,ACTIVE,POINT (-114.135519456064 51.0422014621438),1,2,14,118
7031,EB Douglas Woods DR @ Douglas Woods PL SE,ACTIVE,POINT (-113.998188346747 50.9463320699168),3,13,4,268
6220,WB Hamptons BV @ Hamptons SQ NW,ACTIVE,POINT (-114.159516247355 51.1446389171576),2,10,3,286
6441,SB Bonaventure DR @ Southland DR SE,ACTIVE,POINT (-114.068259463012 50.9646104262296),3,5,6,89
2340,SB 68 ST @ Applewood DR (N. Leg) SE,ACTIVE,POINT (-113.935369785455 51.0453667967372),3,11,12,103
2863,EB Heritage DR @ 11 ST SE,INACTIVE,POINT (-114.038505209339 50.9869377069213),3,5,10,1
6722,WB 21 AV NW @ 12 ST NW,ACTIVE,POINT (-114.089230721296 51.0715088972796),2,7,7,63
3774,SB 77 ST SW @ Spring Valley VW,ACTIVE,POINT (-114.199446673025 51.0285015058815),1,14,1,289
2256,NB Redstone ST@ 128 AV NE,ACTIVE,POINT (-113.961819947186 51.1664039907178),4,1,11,3
9843,SB Fish Creek BV @ N. of Everbrook DR SW,ACTIVE,POINT (-114.110394303375 50.9207675121984),1,6,5,39
8132,EB Marbank DR @ Mardale DR NE,ACTIVE,POINT (-113.96509666166 51.0633480480258),4,3,12,77
9028,WB 72 AV NE @ Huntridge HL,ACTIVE,POINT (-114.063815802275 51.1181856506621),4,4,2,261
5206,NB Elbow DR @  Canterbury DR SW,ACTIVE,POINT (-114.084276280341 50.9481371185621),1,6,5,283
6140,WB Northmount DR @ 19 ST NW,ACTIVE,POINT (-114.109592617094 51.0877194387075),2,4,7,125
4642,WB 10 AV SW @ 19 ST SW,ACTIVE,POINT (-114.106811837455 51.0446374496686),1,2,14,136
3627,EB 69 Street CTrain Station,ACTIVE,POINT (-114.188474786778 51.0375068956936),1,14,1,289
4583,WB 6 AV SW @ 2 ST SW,ACTIVE,POINT (-114.068693890858 51.0476715871051),1,7,7,262
6324,WB Chaparral DR @ Chaparral BV SE,ACTIVE,POINT (-114.025600712449 50.8858492993237),3,13,6,130
9598,EB Country Hills BV @ Royal Birch BV,ACTIVE,POINT (-114.212890531812 51.1491610507441),2,9,3,252
7593,EB 64 AV NE @ Martingrove DR,ACTIVE,POINT (-113.951574762585 51.1105077098596),4,1,9,119
9887,EB Tuscany Springs BV @ Tuscany Springs RD NW,ACTIVE,POINT (-114.244805092495 51.1349068134282),2,9,13,158
4058,EB 51 ST NW @ 17 AV NW,INACTIVE,POINT (-114.167578742043 51.0769429643633),2,7,13,24
6606,WB 40 AV NW @ 49 ST NW,ACTIVE,POINT (-114.159098972576 51.0883312076479),2,9,13,269
6573,WB 90 AV SE @ 60 ST SE,ACTIVE,POINT (-113.947511888963 50.972398730983),3,8,10,104
9174,Southland Leisure Centre (WB),ACTIVE,POINT (-114.107096325437 50.9615138521292),1,5,8,66
5530,SB Fairmount DR @ Farrell RD SE,ACTIVE,POINT (-114.063967168131 50.9917752904624),3,11,10,76
8397,SB Prestwick BV @ Prestwick GA SE,ACTIVE,POINT (-113.964946961913 50.9171732774239),3,8,4,46
8419,NB Centre ST N @ 40 AV N,ACTIVE,POINT (-114.06227429901 51.0891025783646),4,4,2,259
5338,WB 33 AV SW@ 17 ST SW,ACTIVE,POINT (-114.102617695324 51.0240521973967),1,2,14,207
9060,WB Beddington BV @ Berwick WY NW,ACTIVE,POINT (-114.083990549437 51.1305100202192),2,4,2,273
2537,SB Redstone BV @ Redstone DR NE,ACTIVE,POINT (-113.951305838514 51.168053331009),4,1,11,3
4593,SB Country Village LI @ Country Village WY NE,ACTIVE,POINT (-114.067849119564 51.1573782813037),4,12,11,264
5242,SB 10 ST NW @ Rosehill DR NW,ACTIVE,POINT (-114.085286770448 51.0779228022313),2,4,7,92
9255,EB 9 AV SW @ 5 ST SW,INACTIVE,POINT (-114.073411408021 51.0448215956514),1,2,14,262
5170,SB Centre ST N @ Tache AV N,ACTIVE,POINT (-114.062531945833 51.1075187994862),2,4,2,192
5223,SB Elbow DR @ Canyon Meadows DR SW,INACTIVE,POINT (-114.085501303621 50.9390288208207),1,6,5,283
6712,SB Centre ST S @ 61 AV S,ACTIVE,POINT (-114.063945094464 50.997315629207),1,11,10,160
3826,WB Tuscany DR @ Tuscany Ridge CL NW,ACTIVE,POINT (-114.251595677393 51.1195062267486),2,9,13,158
3705,NB 77 ST SW @ Weston DR,ACTIVE,POINT (-114.199260035831 51.0635133021634),1,14,1,114
4725,WB Taradale DR @ Tarington RD NE,ACTIVE,POINT (-113.932027614029 51.1141607279046),4,1,11,26
2487,Deerfoot Meadows Station (EB),ACTIVE,POINT (-114.043110811226 50.9870778552679),3,5,10,1
5302,EB Canada Olympic RD @ Canada Olympic GT SW,ACTIVE,POINT (-114.217136076733 51.0838906243073),1,14,13,4
7946,WB Richmond RD @ 42 ST SW,ACTIVE,POINT (-114.148664537089 51.0202026222982),1,14,1,298
8864,WB Penbrooke DR @ 60 ST SE,ACTIVE,POINT (-113.946672978684 51.0452734179249),3,11,12,30
6192,WB 14 AV SE @ 68 ST SE,ACTIVE,POINT (-113.936034868789 51.0406321268169),3,11,12,103
8915,NB Spruce DR @ Hemlock CR SW,ACTIVE,POINT (-114.135070959143 51.0479875966498),1,2,14,118
6758,NB Brentwood RD @ Brentwood Co-Op,ACTIVE,POINT (-114.131400975551 51.0875140333497),2,4,7,50
8817,SB Bowness RD @ 33 AV NW,ACTIVE,POINT (-114.173394562545 51.0829573635333),2,9,13,149
9562,EB McKenzie Towne DR @ Elgin RI SE,ACTIVE,POINT (-113.96289630763 50.9067124361209),3,8,4,46
2240,NB Walden CM @ 210 AV SE,ACTIVE,POINT (-114.028437277546 50.8660872919559),3,13,6,135
5287,WB 17 AV SW@ 1 ST SW,ACTIVE,POINT (-114.066585816163 51.037904162887),1,5,14,260
9191,EB 40 AV NW@  E. of Hudson RD,ACTIVE,POINT (-114.074408316564 51.0878419959873),2,4,7,123
8742,SB Auburn Bay AV@ Auburn Bay BV SE,ACTIVE,POINT (-113.961327340551 50.8960751867456),3,8,4,95
8521,WB Bridlewood AV @ Bridlewood DR SW,ACTIVE,POINT (-114.099895870556 50.8973718915803),1,6,5,138
3684,NB Hamptons DR @ Hamptons RI NW,ACTIVE,POINT (-114.149702186576 51.1474518633973),2,10,3,286
9298,SB Shawville LI @ Shawville WY SE,INACTIVE,POINT (-114.066519361614 50.8993077937502),3,6,5,115
1111,McKnight-Westwinds LRT Station,INACTIVE,POINT (-113.975212403158 51.1082967768527),4,1,9,80
6670,WB 33 AV SW @ Crowchild TR,ACTIVE,POINT (-114.122402318784 51.0249282432149),1,2,14,181
9588,EB Country Hills DR @ Country Hills CI NW,ACTIVE,POINT (-114.06772851832 51.1468783578467),2,12,2,172
9729,WB Silverado BV @ Silverado Skies LI SW,ACTIVE,POINT (-114.078985484834 50.8867217215611),1,6,6,134
9815,52nd Street SE Station (WB),ACTIVE,POINT (-113.959225198868 51.0378768849526),3,11,12,85
3922,SB Silverado BV @ Silverado Crest LD SW,ACTIVE,POINT (-114.087159190708 50.8828963491487),1,6,6,134
9433,WB 16 AV NW @ 8 ST NW,ACTIVE,POINT (-114.081829664529 51.0670606690273),2,7,7,17
8785,WB 26 AV SW @ Kelwood CR,ACTIVE,POINT (-114.14426026855 51.030600899187),1,14,1,41
5074,WB 17 AV SE @ 38 ST SE,ACTIVE,POINT (-113.979173379793 51.037897245992),3,11,12,85
7423,WB 20 AV NW @ 15 ST NW,ACTIVE,POINT (-114.097868121485 51.0705994739429),2,7,7,63
8476,NB University DR @ Unwin RD NW,ACTIVE,POINT (-114.126529029685 51.0725493532336),2,7,13,287
9006,SB 7 ST NW @ 20 AV NW,INACTIVE,POINT (-114.078991413366 51.0701918869993),2,7,7,17
3511,EB Copperpond BV @ McIvor BV SE,ACTIVE,POINT (-113.932344724797 50.9230309754269),3,8,4,96
6309,WB Richmond RD @ 33 ST SW,ACTIVE,POINT (-114.135161763883 51.0243245276656),1,2,14,182
2727,SB Haddon Rd @ Hogarth Rd,ACTIVE,POINT (-114.078068261965 50.9740438716243),1,5,8,195
7769,NB 36 ST NE @ S. of 5 AV NE,ACTIVE,POINT (-113.981388606224 51.0560435589396),4,3,12,77
9309,NB Nose Hill DR @ John Laurie BV NW,ACTIVE,POINT (-114.193566768483 51.1283178485784),2,10,3,248
7469,EB Valley Ridge DR @ Valley Ridge BV NW,ACTIVE,POINT (-114.247844438888 51.0919756368977),2,9,13,47
9697,WB Panatella BV @ Harvest Hills BV NW,ACTIVE,POINT (-114.071605767019 51.1647744064452),2,12,11,235
3379,EB 33 AV @ 22 ST SW,INACTIVE,POINT (-114.113928264395 51.0239059605793),1,2,14,207
7618,EB Somerset DR@ Somerset WY SW,ACTIVE,POINT (-114.085022571496 50.9009409921835),1,6,5,55
4561,EB Castleridge BV @ E. of Westwinds DR NE,ACTIVE,POINT (-113.961972182699 51.1003533365932),4,1,9,80
8757,EB 26 AV SW @ 31 ST SW,ACTIVE,POINT (-114.132030947045 51.029986356766),1,2,14,182
4038,EB Unwin RD @ Usher RD NW,ACTIVE,POINT (-114.126967699247 51.0719215156876),2,7,13,274
9270,NB Strathcona BV @ Bow TR SW,ACTIVE,POINT (-114.182493821524 51.0507243809543),1,14,1,67
4699,SB 16 ST SW @ 42 AV SW,ACTIVE,POINT (-114.100611288552 51.01575409838),1,2,8,200
8325,SB Arbour Lake RD @ Arbour Meadows CL NW,ACTIVE,POINT (-114.218035340067 51.1312234948858),2,10,3,244
4693,SB 10 ST NE @ N. of 72 AV NE,ACTIVE,POINT (-114.04210760439 51.121083141818),4,1,11,111
7733,NB 4 ST SW @ 22 AV SW,ACTIVE,POINT (-114.071384025832 51.0337610189506),1,5,14,297
7872,WB 162 AV SW @ E. of Shawbrooke RD,ACTIVE,POINT (-114.094046203046 50.905195896196),1,6,5,115
9117,WB Woodbine BV @ Woodbrook WY SW,ACTIVE,POINT (-114.13502735114 50.9469295356711),1,6,5,43
2085,WB Cranston AV @ Cranberry Rd SE,ACTIVE,POINT (-113.977086561895 50.8795511665463),3,8,4,294
4292,WB Panatella BV @ Panton LD NW,ACTIVE,POINT (-114.082138447969 51.1705174019822),2,12,11,235
5023,WB Bowness RD @ 64 ST NW,ACTIVE,POINT (-114.182049258744 51.0867013572339),2,9,13,149
4297,EB Springborough BV @ 69 ST SW,ACTIVE,POINT (-114.188002969614 51.0354042664885),1,14,1,289
7645,EB 17 AV SE @ 60 ST SE,ACTIVE,POINT (-113.946159071403 51.037731074503),3,11,12,209
3853,SB Tuscany Valley VW @ Tuscany  Valley GA NW,ACTIVE,POINT (-114.243808218011 51.1269231723017),2,9,13,158
5915,SB Crowfoot CR @ N. of Crowfoot WY  NW,INACTIVE,POINT (-114.199997533888 51.1257467507324),2,10,3,244
4429,SB 11 ST SE @ 64 AV SE,ACTIVE,POINT (-114.039221152627 50.9949641209854),3,11,10,109
2500,All Saints High School,ACTIVE,POINT (-114.02544941633 50.859615552295),3,13,6,99
6907,SB Sierra Morena BV @ Sierra Morena CI SW,INACTIVE,POINT (-114.176212279657 51.0176969455322),1,14,1,278
2359,signal A88A sb,INACTIVE,POINT (-114.076217988639 50.9723595533828),1,5,8,195
9551,WB 80 AV NE @ Saddlecreek GT,ACTIVE,POINT (-113.954658914934 51.1253129713701),4,1,11,2
4993,EB New Brighton DR @ New Brighton GD SE,ACTIVE,POINT (-113.951047903869 50.9158123680698),3,8,4,139
5106,SB 4 ST NW @ 31 AV NW,ACTIVE,POINT (-114.071659496811 51.0800375562491),2,7,7,17
4598,WB 66 AV SW @ Legare DR,ACTIVE,POINT (-114.12695664011 50.9946468447788),1,5,8,129
6423,WB Southland DR @ 24 ST SW,ACTIVE,POINT (-114.119877348141 50.9614341894131),1,5,8,217
3943,SB Fish Creek BV @ Everbrook DR SW,ACTIVE,POINT (-114.110114452901 50.9179361608195),1,6,5,39
8186,SB Barlow TR @ 76 AV SE,ACTIVE,POINT (-113.982058336084 50.9846868045149),3,11,10,159
4820,SB Bridleridge WY @ Bridleglen MR SW,ACTIVE,POINT (-114.110610093515 50.9053464752408),1,6,5,138
6786,WB Patina DR @ Village HT SW,ACTIVE,POINT (-114.16952261651 51.0567969823915),1,14,1,275
6277,WB Citadel DR @ Citadel PA NW,ACTIVE,POINT (-114.173740528556 51.1402525966797),2,10,3,247
8885,EB 9 AV SW @ Wentworth RI,ACTIVE,POINT (-114.212812508048 51.0595380453439),1,14,1,114
7672,NB 10 ST NW @ 13 AV NW,ACTIVE,POINT (-114.084466574056 51.0644010849033),2,7,7,219
8196,SB 52 ST SE @ 61 AV SE,ACTIVE,POINT (-113.958768257571 50.9985266668315),3,11,10,159
